"Part";"Value";"Device";"Package";"Description";"";
"C1";"3.3nF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C2";"470uF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C3";"100nF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C4";"100nF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C5";"3.3nF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C6";"470uF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"D1";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D2";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D3";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D4";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D5";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D6";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D7";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"D8";"";"DIODE-DO201-15";"DO201-15";"DIODE";"";
"IC1";"L297";"L297";"DIL20";"STEPPER MOTOR CONTROLLER";"";
"IC2";"L298";"L298";"MULTIWATT-15";"DUAL FULL-BRIDGE DRIVER";"";
"IC3";"";"V_REG_78XXSINK";"TO220-IGO";"Voltage Regulator";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP2";"";"M04PTH";"1X04";"Header 4";"";
"JP4";"";"M05PTH";"1X05";"Header 5";"";
"R1";"10K";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R2";"22K";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R3";"1K";"TRIM_EU-B64Y";"B64Y";"POTENTIOMETER";"";
"R4";".5";"R-US_0617/22";"0617/22";"RESISTOR, American symbol";"";
"R5";".5";"R-US_0617/22";"0617/22";"RESISTOR, American symbol";"";
"X2";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";
